Country,Year,Status,Lifeexpectancy,AdultMortality,infantdeaths,Alcohol,percentageexpenditure,BMI,Schooling,GDP,under-fivedeaths
AntiguaandBarbuda,2015,Developing,76.4,13,0,,0,47.7,13.9,13566.9541,0
AntiguaandBarbuda,2014,Developing,76.2,131,0,8.56,2422.999774,47,13.9,12888.29667,0
AntiguaandBarbuda,2013,Developing,76.1,133,0,8.58,1991.430372,46.4,13.9,12224.86416,0
AntiguaandBarbuda,2012,Developing,75.9,134,0,8.18,2156.229842,45.7,13.8,12565.44197,0
AntiguaandBarbuda,2011,Developing,75.7,136,0,7.84,1810.875316,45.1,14.1,11929.34991,0
AntiguaandBarbuda,2010,Developing,75.6,138,0,7.84,1983.956937,44.4,14.1,12126.87614,0
AntiguaandBarbuda,2009,Developing,75.4,14,0,7.82,149.3587355,43.8,14.2,1312.46692,0
AntiguaandBarbuda,2008,Developing,75.2,142,0,8.27,180.7762695,43.2,14.4,1473.31923,0
AntiguaandBarbuda,2007,Developing,75,144,0,8.64,257.9665308,42.6,14.5,14252.29452,0
AntiguaandBarbuda,2006,Developing,74.8,145,0,8.93,216.3146941,42,14.7,12724.39377,0
AntiguaandBarbuda,2005,Developing,74.6,147,0,8.15,1455.608186,41.4,0,11371.93895,0
AntiguaandBarbuda,2004,Developing,74.4,149,0,7.28,22.86295206,4.8,0,1352.8374,0
AntiguaandBarbuda,2003,Developing,74.2,151,0,7.16,1158.065259,4.1,0,9739.82556,0
AntiguaandBarbuda,2002,Developing,74,153,0,7.21,927.4075855,39.5,0,9386.716452,0
AntiguaandBarbuda,2001,Developing,73.8,154,0,7.51,163.7676978,38.9,0,9358.154162,0
AntiguaandBarbuda,2000,Developing,73.6,156,0,7.27,1127.74347,38.2,0,9875.161736,0
Argentina,2015,Developing,76.3,116,8,,0,62.8,17.3,13467.1236,9
Argentina,2014,Developing,76.2,118,8,7.93,847.3717463,62.2,17.3,12245.25645,9
Argentina,2013,Developing,76,119,8,8.28,1001.796332,61.6,17.3,12976.63642,10
Argentina,2012,Developing,75.9,12,9,8.35,1133.558003,61,17.2,12969.7712,10
Argentina,2011,Developing,75.7,12,9,8.11,1504.329462,6.4,17.1,12726.9836,10
Argentina,2010,Developing,75.5,121,10,8.15,187.610955,59.8,16.8,1276.265,11
Argentina,2009,Developing,75.6,126,10,8.33,1398.042623,59.2,16.5,8161.36966,11
Argentina,2008,Developing,75.4,126,10,8.41,1413.73543,58.6,16.3,8953.359275,11
Argentina,2007,Developing,74.8,129,10,8.16,1105.659031,58,16.3,7193.61764,12
Argentina,2006,Developing,75.2,127,11,7.75,961.1774676,57.5,16.1,5878.76127,12
Argentina,2005,Developing,74.9,127,11,7.53,96.16653429,56.9,16.3,576.883829,12
Argentina,2004,Developing,74.7,13,11,7.63,719.3663797,56.3,16.3,4251.574348,12
Argentina,2003,Developing,74.1,137,11,7.62,57.58467352,55.7,16.4,333.4376,13
Argentina,2002,Developing,74.1,138,12,7.81,470.1869145,55.1,16.3,2579.193168,13
Argentina,2001,Developing,74,138,12,7.76,123.0128671,54.6,15.6,717.694674,13
Argentina,2000,Developing,74.1,137,12,7.68,1349.025282,54,15,7669.273916,14
Armenia,2015,Developing,74.8,118,1,,0,54.9,12.7,369.654776,1
Armenia,2014,Developing,74.6,12,1,3.91,295.6087143,54.1,12.7,3994.712355,1
Armenia,2013,Developing,74.4,123,1,3.79,279.4290812,53.3,12.7,3843.591213,1
Armenia,2012,Developing,74.4,121,1,3.89,274.1526986,52.6,12.7,3684.8481,1
Armenia,2011,Developing,73.9,128,1,4.09,260.9963826,51.9,12.7,3526.978143,1
Armenia,2010,Developing,73.5,132,1,4.23,224.3212014,51.2,12.3,3218.381655,1
Armenia,2009,Developing,73.3,137,1,3.96,201.1855461,5.7,11.9,2993.832531,1
Armenia,2008,Developing,73.2,14,1,3.96,2.8888979,5.1,12.3,41.26997,1
Armenia,2007,Developing,73.5,132,1,3.99,44.57219966,49.7,11.7,3138.8873,1
Armenia,2006,Developing,72.9,141,1,4.01,244.5352767,49.2,11.2,2158.299,1
Armenia,2005,Developing,73,137,1,4.25,20.21822828,48.8,10.9,1643.758397,1
Armenia,2004,Developing,73,132,1,3.81,97.74087744,48.4,10.9,1191.96192,1
Armenia,2003,Developing,72.7,134,1,3.03,7.341493148,48.1,10.8,93.1661567,1
Armenia,2002,Developing,72.6,134,1,2.86,57.17810403,47.8,10.8,783.261699,1
Armenia,2001,Developing,72.6,141,1,2.86,53.19373012,47.4,11.1,694.435119,1
Armenia,2000,Developing,72,142,1,2.9,32.75626853,47.1,11.2,622.7427477,1
Australia,2015,Developed,82.8,59,1,,0,66.6,20.4,56554.3876,1
Australia,2014,Developed,82.7,6,1,9.71,10769.36305,66.1,20.4,62214.6912,1
Australia,2013,Developed,82.5,61,1,9.87,11734.85381,65.5,20.3,67792.3386,1
Australia,2012,Developed,82.3,61,1,10.03,11714.99858,65,20.1,67677.63477,1
Australia,2011,Developed,82,63,1,10.3,10986.26527,64.4,19.8,62245.129,1
Australia,2010,Developed,81.9,64,1,10.52,8875.786493,63.9,19.5,51874.848,1
Australia,2009,Developed,81.7,66,1,10.62,7172.275229,63.4,19.1,42742.99898,1
Australia,2008,Developed,81.3,66,1,10.76,8547.292357,62.9,19.1,49664.6854,1
Australia,2007,Developed,81.3,66,1,10.56,872.5986092,62.5,19,4991.98289,2
Australia,2006,Developed,81.2,66,1,10.31,6187.062017,62,20.3,36118.28381,2
Australia,2005,Developed,81,67,1,10.3,579.1331637,61.5,20.3,3416.71483,2
Australia,2004,Developed,86,69,1,9.84,588.568371,6.9,20.7,3472.37977,1
Australia,2003,Developed,83,71,1,9.97,3829.550928,6.3,20.6,23465.38559,1
Australia,2002,Developed,79.9,73,1,9.84,46.3871819,59.6,20.1,281.81763,2
Australia,2001,Developed,79.9,75,1,9.53,3064.301144,59,20.5,19517.84168,2
Australia,2000,Developed,79.5,78,1,10.17,347.18736,58.2,20.4,2169.921,2
Austria,2015,Developed,81.5,65,0,,0,57.6,15.9,43665.947,0
Austria,2014,Developed,81.4,66,0,12.32,8350.193523,57.1,15.9,51322.63997,0
Austria,2013,Developed,81.1,68,0,11.82,90.58501176,56.6,15.7,554.71532,0
Austria,2012,Developed,88,7,0,12.26,7878.372355,56.1,15.7,48333.57273,0
Austria,2011,Developed,88,73,0,12.04,8272.306757,55.7,15.7,51126.74139,0
Austria,2010,Developed,84,75,0,12.1,7423.228774,55.2,15.4,46657.629,0
Austria,2009,Developed,82,77,0,11.3,8053.557638,54.7,15.3,47654.18721,0
Austria,2008,Developed,84,76,0,12,8329.731655,54.2,15.1,51386.37665,0
Austria,2007,Developed,81,8,0,12.5,7453.8644,53.7,15.2,46586.6525,0
Austria,2006,Developed,79.8,81,0,12.4,69.92899358,53.2,15,443.99361,0
Austria,2005,Developed,79.4,85,0,12.4,5992.588029,52.7,14.9,38242.4252,0
Austria,2004,Developed,79.3,86,0,12.1,5316.877456,52.2,14.7,36693.4262,0
Austria,2003,Developed,78.8,88,0,12.2,504.4308735,51.7,14.7,3212.9355,0
Austria,2002,Developed,78.7,9,0,12.5,3979.057728,51.2,16.1,26351.37568,0
Austria,2001,Developed,78.6,92,0,12.4,3582.848308,5.6,15.5,24489.73553,0
Austria,2000,Developed,78.1,96,0,13.2,3557.455507,5.1,15.4,24517.26745,0
Azerbaijan,2015,Developing,72.7,118,5,,0,52.5,12.7,55.31382,6
Azerbaijan,2014,Developing,72.5,119,5,0.01,306.1824313,51.5,12.2,7891.299776,6
Azerbaijan,2013,Developing,72.2,121,5,2.14,275.6514934,5.6,11.9,7875.756953,6
Azerbaijan,2012,Developing,71.9,123,5,0.01,285.6103912,49.7,11.8,7496.335728,6
Azerbaijan,2011,Developing,71.6,125,5,1.98,263.142699,48.8,11.7,7189.691229,6
Azerbaijan,2010,Developing,71.1,13,5,1.98,246.5686008,48,11.7,5842.85784,6
Azerbaijan,2009,Developing,78,132,6,2.1,22.48638351,47.3,11.6,495.294791,6
Azerbaijan,2008,Developing,73,141,6,1.18,206.2616134,46.6,11.6,5574.6382,6
Azerbaijan,2007,Developing,73,14,6,1.02,176.0107106,45.9,11.6,3851.437869,7
Azerbaijan,2006,Developing,69.2,154,6,0.85,105.6337264,45.3,10.7,2473.85776,7
Azerbaijan,2005,Developing,68.4,162,6,0.73,81.28883085,44.7,11.2,1578.4239,7
Azerbaijan,2004,Developing,68.4,154,6,0.62,8.59680496,44.2,11,145.2163,8
Azerbaijan,2003,Developing,67.8,154,7,0.55,42.41491183,43.6,10.8,883.6439965,8
Azerbaijan,2002,Developing,67.8,146,7,0.55,39.33253687,43.1,10.6,763.73858,9
Azerbaijan,2001,Developing,67.5,151,8,0.51,4.104190077,42.6,10.4,73.6838434,10
Azerbaijan,2000,Developing,66.6,16,9,0.65,35.09462644,42.1,10.1,655.974326,11
Bahamas,2015,Developing,76.1,147,0,,0,64.5,12.6,,0
Bahamas,2014,Developing,75.4,16,0,9.45,0,63.8,12.6,,0
Bahamas,2013,Developing,74.8,172,0,9.42,0,63.2,12.6,,0
Bahamas,2012,Developing,74.9,167,0,9.5,0,62.6,12.6,,0
Bahamas,2011,Developing,75,162,0,9.34,0,62,12.6,,0
Bahamas,2010,Developing,75,161,0,9.19,0,61.3,12.6,,0
Bahamas,2009,Developing,74.6,168,0,9.29,0,6.7,12.6,,0
Bahamas,2008,Developing,74.5,167,0,10.15,0,6.1,12.6,,0
Bahamas,2007,Developing,74.4,167,0,10.75,0,59.4,12.5,,0
Bahamas,2006,Developing,74.2,171,0,11.07,0,58.7,12.4,,0
Bahamas,2005,Developing,74.1,172,0,10.49,0,58.1,12.4,,0
Bahamas,2004,Developing,73.8,174,0,10.1,0,57.4,12.3,,0
Bahamas,2003,Developing,73.2,189,0,10.68,0,56.7,12.2,,0
Bahamas,2002,Developing,73.1,19,0,10.85,0,56,12.1,,0
Bahamas,2001,Developing,72.9,189,0,11.64,0,55.2,12.1,,0
Bahamas,2000,Developing,72.6,192,0,12.15,0,54.4,12,,0
Bahrain,2015,Developing,76.9,69,0,,0,63.6,14.5,22688.87824,0
Bahrain,2014,Developing,76.8,7,0,1.57,367.2556742,62.9,14.5,24983.3792,0
Bahrain,2013,Developing,76.7,7,0,1.65,3.968695982,62.2,14.5,251.18329,0
Bahrain,2012,Developing,76.5,71,0,1.7,2211.215778,61.5,14.5,23649.36661,0
Bahrain,2011,Developing,76.1,76,0,1.66,197.7734681,6.8,14.4,2281.1242,0
Bahrain,2010,Developing,76.1,73,0,1.93,266.7696122,6.1,14.4,2722.1389,0
Bahrain,2009,Developing,76,74,0,1.95,332.9347646,59.3,14.4,19356.67236,0
Bahrain,2008,Developing,75.8,76,0,2,231.5478912,58.5,14.4,2367.56535,0
Bahrain,2007,Developing,75.6,77,0,2,278.3602806,57.6,14.4,2977.1153,0
Bahrain,2006,Developing,75.5,79,0,2.1,170.7374027,56.8,14.2,1937.99549,0
Bahrain,2005,Developing,75.3,81,0,2.05,1553.468944,56.1,14,17959.17854,0
Bahrain,2004,Developing,75.2,83,0,2.16,1380.228095,55.6,13.9,15846.47641,0
Bahrain,2003,Developing,75,85,0,2.16,1214.558167,55.2,13.7,14221.99259,0
Bahrain,2002,Developing,74.9,87,0,1.99,106.4303336,55,13.5,1312.33457,0
Bahrain,2001,Developing,74.7,9,0,1.95,1150.418063,54.8,13.3,12868.211,0
Bahrain,2000,Developing,74.5,92,0,2.15,167.7270642,54.5,13.2,13636.34668,0
Bangladesh,2015,Developing,71.8,129,92,,0,18.3,10.2,121.15812,113
Bangladesh,2014,Developing,71.4,132,98,0.01,10.44640334,17.7,10,184.56543,121
Bangladesh,2013,Developing,71,135,104,0.01,52.82986467,17,10,951.8894535,130
Bangladesh,2012,Developing,77,137,111,0.01,59.2589257,16.4,9.9,856.342857,139
Bangladesh,2011,Developing,73,14,118,0.01,62.34988484,15.8,9.4,835.789341,150
Bangladesh,2010,Developing,69.9,142,126,0.01,62.65945432,15.2,8.9,757.6717572,161
Bangladesh,2009,Developing,69.5,144,135,0.01,53.26400378,14.6,8.4,681.125368,173
Bangladesh,2008,Developing,69.1,147,144,0.01,42.48865034,14,8.6,615.7775411,186
Bangladesh,2007,Developing,68.6,151,154,0.01,46.36536703,13.5,8.6,541.651484,201
Bangladesh,2006,Developing,68.2,152,164,0.01,42.3304549,13,8.4,494.51466,215
Bangladesh,2005,Developing,67.8,155,174,0.01,38.05462002,12.5,8.2,484.155471,231
Bangladesh,2004,Developing,67.3,158,185,0.01,4.11469667,12,8.1,46.7579167,247
Bangladesh,2003,Developing,66.8,161,196,0.01,35.48458957,11.6,7.9,432.7388972,264
Bangladesh,2002,Developing,66.3,164,207,0.01,0.397228764,11.2,7.7,4.6135745,280
Bangladesh,2001,Developing,65.8,168,219,0.01,3.395069781,1.8,7.5,42.5981152,298
Bangladesh,2000,Developing,65.3,173,231,0.01,3.69633051,1.4,7.3,45.63371,316
Barbados,2015,Developing,75.5,98,0,,0,54.5,15.3,15557.8381,0
Barbados,2014,Developing,75.4,1,0,8.82,294.9056584,53.7,15.3,15359.66971,0
Barbados,2013,Developing,75.2,11,0,8.74,263.0372838,53,15.3,15472.7814,0
Barbados,2012,Developing,75.1,12,0,8.61,260.0043858,52.2,15.3,15384.8749,0
Barbados,2011,Developing,74.9,14,0,8.51,173.9825629,51.4,15.5,15534.1574,0
Barbados,2010,Developing,74.7,16,0,8.41,154.9630863,5.7,15.8,1595.91232,0
Barbados,2009,Developing,74.6,19,0,8.46,327.1618128,49.9,15.5,16523.32388,0
Barbados,2008,Developing,74.4,111,0,8.95,25.52277112,49.2,15.3,1657.3228,0
Barbados,2007,Developing,74.2,113,0,8.47,1641.30981,48.4,15,16462.48556,0
Barbados,2006,Developing,74.1,115,0,8.39,181.5000856,47.7,14.8,15646.5591,0
Barbados,2005,Developing,73.9,117,0,8.01,1311.440423,46.9,14.6,14223.86576,0
Barbados,2004,Developing,73.8,119,0,7.68,166.0083443,46.2,14.4,12868.8639,0
Barbados,2003,Developing,73.7,121,0,7.65,13.5139917,45.4,14.2,1228.5447,0
Barbados,2002,Developing,73.5,123,0,7.59,133.099491,44.6,14,11675.39395,0
Barbados,2001,Developing,73.4,125,0,7.38,138.1664627,43.8,14,11513.87189,0
Barbados,2000,Developing,73.3,127,0,7.43,1140.615754,43,14,11568.1111,0
Belarus,2015,Developing,72.3,196,0,,0,62.3,15.6,5949.11677,0
Belarus,2014,Developing,72,199,0,13.94,1147.1114,61.7,15.7,8318.429294,0
Belarus,2013,Developing,71.7,23,0,14.66,1109.854619,61.1,15.7,7978.825443,1
Belarus,2012,Developing,71.9,194,0,16.35,91.70962117,6.5,15.6,694.243915,1
Belarus,2011,Developing,72,232,0,17.31,846.9113071,59.9,15.5,6519.71753,1
Belarus,2010,Developing,73,222,0,14.44,8.49409518,59.3,15.5,63.38877,1
Belarus,2009,Developing,70,226,0,14.09,434.7985025,58.7,15.4,5176.172649,1
Belarus,2008,Developing,70,224,1,14.67,501.8056141,58.2,15.1,6376.183153,1
Belarus,2007,Developing,69.8,226,1,14.22,464.077513,57.7,14.9,4735.484827,1
Belarus,2006,Developing,68.9,243,1,12.6,364.426052,57.2,14.6,3848.215966,1
Belarus,2005,Developing,68.1,252,1,11.01,45.65007798,56.7,14.4,3126.71767,1
Belarus,2004,Developing,68.2,247,1,12.05,42.33443901,56.2,14.1,2378.33927,1
Belarus,2003,Developing,67.7,253,1,11.17,23.83578594,55.8,13.9,1819.525644,1
Belarus,2002,Developing,67.2,262,1,12.23,145.4233629,55.3,13.6,1479.383142,1
Belarus,2001,Developing,67.7,254,1,10.74,14.06141699,54.9,13.3,1244.373185,1
Belarus,2000,Developing,68,247,1,12.98,24.24947846,54.4,13.1,1276.28834,1
Belgium,2015,Developed,81.1,74,0,,0,63.7,16.6,4356.875,1
Belgium,2014,Developed,89,76,0,12.6,7163.348923,63.4,16.3,47439.39684,1
Belgium,2013,Developed,87,77,0,11.77,702.359357,63,16.3,4651.38647,1
Belgium,2012,Developed,83,78,0,10.08,664.4738975,62.6,16.2,4474.5717,1
Belgium,2011,Developed,83,8,0,10.11,713.5297354,62.3,16.1,4772.77415,1
Belgium,2010,Developed,80,81,0,10.22,665.7356115,61.9,15.9,4438.23741,1
Belgium,2009,Developed,79.8,85,0,10.05,671.9376566,61.6,15.8,4488.5615,1
Belgium,2008,Developed,79.5,87,0,10.47,7191.051507,61.3,15.8,48424.58927,1
Belgium,2007,Developed,79.5,86,0,10.25,640.3560918,6.9,15.8,4443.83131,1
Belgium,2006,Developed,79.4,85,0,10.98,5579.199083,6.6,15.7,38852.3613,1
Belgium,2005,Developed,78.9,89,0,12.27,5068.214488,6.2,15.7,36967.28292,1
Belgium,2004,Developed,78.8,91,1,12.05,5160.508378,59.8,18.8,35589.71295,1
Belgium,2003,Developed,78.3,95,0,11.28,507.306164,59.4,18.6,3743.95693,1
Belgium,2002,Developed,78,99,1,11.29,320.3177664,59,18.8,2552.3328,1
Belgium,2001,Developed,78,1,1,11.01,2943.375396,58.5,18.2,23121.56635,1
Belgium,2000,Developed,77.6,11,1,11.21,287.2084529,58.1,18,2327.4591,1
Belize,2015,Developing,71,175,0,,0,5.9,12.8,4849.997495,0
Belize,2014,Developing,70,177,0,6.58,670.0920883,5.1,12.8,4852.223666,0
Belize,2013,Developing,69.8,18,0,6.56,629.2018591,49.3,12.9,4688.538443,0
Belize,2012,Developing,69.4,189,0,6.66,582.8027185,48.5,12.5,4673.63848,0
Belize,2011,Developing,69.4,188,0,6.64,605.6286892,47.8,12.4,4516.24675,0
Belize,2010,Developing,69.5,186,0,6.76,569.9527122,47,12.4,4344.15177,0
Belize,2009,Developing,69.5,184,0,6.85,549.8096097,46.3,12.7,4258.788611,0
Belize,2008,Developing,69.6,181,0,7.22,51.25232422,45.7,12.8,447.22796,0
Belize,2007,Developing,69.6,181,0,7.24,69.63051047,45,12.8,4324.876427,0
Belize,2006,Developing,69.4,184,0,6.48,387.3324928,44.4,12.3,4187.3783,0
Belize,2005,Developing,69,191,0,6.25,365.799896,43.8,12.8,3933.332215,0
Belize,2004,Developing,68.7,197,0,6.2,325.6807462,43.2,12.5,3831.53819,0
Belize,2003,Developing,68.4,21,0,5.67,312.7995946,42.6,12.2,3679.99523,0
Belize,2002,Developing,68.5,199,0,4.99,262.8299189,42,11.9,3556.561825,0
Belize,2001,Developing,68.2,21,0,4.9,251.6586929,41.4,11.8,3419.275719,0
Belize,2000,Developing,68.3,196,0,4.79,219.0239836,4.8,11.7,3364.423711,0
Benin,2015,Developing,60,249,25,,0,25.7,10.7,783.94791,39
Benin,2014,Developing,59.7,252,25,0.01,90.12206791,25.2,10.7,943.686575,39
Benin,2013,Developing,59.5,251,25,0.01,87.4080423,24.6,10.3,915.2674586,39
Benin,2012,Developing,59.3,251,25,0.01,9.80407467,24.1,10,837.9551,39
Benin,2011,Developing,59.1,251,25,1.4,110.2633619,23.5,9.8,825.9427854,39
Benin,2010,Developing,58.7,254,25,1.33,94.25737917,23,9.5,757.695974,39
Benin,2009,Developing,58.4,259,25,1.16,71.01399249,22.5,9.3,793.45243,39
Benin,2008,Developing,57.6,278,25,1.28,7.615430126,22,9.1,82.1513498,39
Benin,2007,Developing,57.1,283,25,1.12,7.49281752,21.5,8.9,76.535419,39
Benin,2006,Developing,56.8,284,25,1.19,75.91429496,21,8.7,625.8392,39
Benin,2005,Developing,56.5,285,25,1.13,7.106997355,2.5,8.5,61.799977,39
Benin,2004,Developing,56.1,285,25,1.15,10.73628066,2.1,8.1,583.493514,39
Benin,2003,Developing,55.8,285,25,1.35,8.931827297,19.7,7.7,519.2922847,40
Benin,2002,Developing,55.6,283,25,1.23,40.48815233,19.2,7.3,418.6985763,40
Benin,2001,Developing,55.5,281,25,1.29,45.33476384,18.8,6.6,378.73654,40
Benin,2000,Developing,55.4,279,25,1.34,37.38182018,18.4,6.4,374.1923942,40
Bhutan,2015,Developing,69.8,211,0,,0,24.5,12.5,2613.645177,0
Bhutan,2014,Developing,69.4,216,0,0.01,209.3921344,23.6,12.5,2522.7968,1
Bhutan,2013,Developing,69.1,219,0,0.01,19.79057439,22.7,12.6,235.882889,1
Bhutan,2012,Developing,68.7,223,0,0.01,188.7373664,21.9,12.3,2422.816,1
Bhutan,2011,Developing,68.3,225,0,0.23,289.8524057,21.1,11.9,2458.45976,1
Bhutan,2010,Developing,67.9,228,1,0.28,244.0391949,2.3,11.4,2178.921383,1
Bhutan,2009,Developing,67.4,232,1,0.17,27.48907048,19.5,10.9,177.234497,1
Bhutan,2008,Developing,67,234,1,0.21,302.667579,18.8,10.5,1795.18137,1
Bhutan,2007,Developing,66.5,238,1,0.16,283.806236,18,10.1,1741.142552,1
Bhutan,2006,Developing,65.8,245,1,0.29,169.2023968,17.4,9.6,1335.45696,1
Bhutan,2005,Developing,65,254,1,0.73,145.5965445,16.7,9.2,1247.61392,1
Bhutan,2004,Developing,64.2,263,1,0.96,2.586698228,16.1,8.8,197.45788,1
Bhutan,2003,Developing,63.3,273,1,0.52,19.15664091,15.5,8.4,997.7417141,1
Bhutan,2002,Developing,62.5,282,1,0.29,151.9755193,14.9,8,885.6382245,1
Bhutan,2001,Developing,61.7,29,1,0.14,8.574029812,14.4,7.6,87.9387673,1
Bhutan,2000,Developing,62,312,1,0.17,93.35872844,13.9,7.3,765.8632358,1
Bolivia(PlurinationalStateof),2015,Developing,77,186,8,,0,52.6,13.8,,10
Bolivia(PlurinationalStateof),2014,Developing,74,189,8,3.62,0,51.9,13.8,,10
Bolivia(PlurinationalStateof),2013,Developing,71,192,8,3.78,0,51.2,13.8,,10
Bolivia(PlurinationalStateof),2012,Developing,69.8,194,8,3.89,0,5.6,13.8,,11
Bolivia(PlurinationalStateof),2011,Developing,69.3,198,9,3.93,0,49.9,13.8,,11
Bolivia(PlurinationalStateof),2010,Developing,68.7,22,9,3.95,0,49.3,13.8,,12
